iter	Passed	Remaining
0	0	71
1	1	58
2	1	53
3	2	48
4	2	47
5	2	46
6	3	45
7	4	51
8	5	51
9	5	52
10	6	53
11	7	51
12	7	50
13	7	48
14	8	47
15	8	45
16	9	44
17	10	47
18	11	47
19	11	46
20	11	44
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	39
27	15	38
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	33
34	17	33
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	21	30
41	21	29
42	21	29
43	22	28
44	22	27
45	23	27
46	23	26
47	25	27
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	32	16
67	33	15
68	34	15
69	34	14
70	35	14
71	36	14
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	49	0
